#start coordinate, end coordinate, E, A, I, u1, u2, u3, u4, u5, u6
(0, 0), (4, 0), 200e6, 12e-4, 0e1, 0, 0, 0, 1, 2, 0
(4, 0), (8, 0), 200e6, 12e-4, 0e1, 1, 2, 0, 3, 4, 0
(8, 0), (12, 0), 200e6, 12e-4, 0e1, 3, 4, 0, 0, 0, 0
(0, 0), (2, 3), 200e6, 12e-4, 0e1, 0, 0, 0, 5, 6, 0
(2, 3), (4, 0), 200e6, 12e-4, 0e1, 5, 6, 0, 1, 2, 0
(4, 0), (6, 3), 200e6, 12e-4, 0e1, 1, 2, 0, 7, 8, 0
(6, 3), (8, 0), 200e6, 12e-4, 0e1, 7, 8, 0, 3, 4, 0
(8, 0), (10, 3), 200e6, 12e-4, 0e1, 3, 4, 0, 9, 10, 0
(10, 3), (12, 0), 200e6, 12e-4, 0e1, 9, 10, 0, 0, 0, 0
(2, 3), (6, 3), 200e6, 12e-4, 0e1, 5, 6, 0, 7, 8, 0
(6, 3), (10, 3), 200e6, 12e-4, 0e1, 7, 8, 0, 9, 10, 0
#forces below, write for all u's in order
Force: 0 0 0 0 0 0 -200 0 0 0
#
