#start coordinate, end coordinate, E, A, I, u1, u2, u3, u4, u5, u6
(0, 0), (4, 0), 200e6, 12e-4, 2517e-7, 0, 0, 0, 1, 2, 3
(4, 0), (8, 0), 200e6, 12e-4, 2517e-7, 1, 2, 3, 4, 5, 6
(8, 0), (12, 0), 200e6, 12e-4, 2517e-7, 4, 5, 6, 0, 0, 0
(0, 0), (2, 3), 200e6, 12e-4, 2517e-7, 0, 0, 0, 7, 8, 9
(2, 3), (4, 0), 200e6, 12e-4, 2517e-7, 7, 8, 9, 1, 2, 3
(4, 0), (6, 3), 200e6, 12e-4, 2517e-7, 1, 2, 3, 10, 11, 12
(6, 3), (8, 0), 200e6, 12e-4, 2517e-7, 10, 11, 12, 4, 5, 6
(8, 0), (10, 3), 200e6, 12e-4, 2517e-7, 4, 5, 6, 13, 14, 15
(10, 3), (12, 0), 200e6, 12e-4, 2517e-7, 13, 14, 15, 0, 0, 0
(2, 3), (6, 3), 200e6, 12e-4, 2517e-7, 7, 8, 9, 10, 11, 12
(6, 3), (10, 3), 200e6, 12e-4, 2517e-7, 10, 11, 12, 13, 14, 15
#forces below, write for all u's in order
Force: 0 0 0 0 0 0 0 0 0 -200 0 0 0 0 0
#
